ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
54,Thu Dec 11 23:43:14 CET 2025,Thu Dec 11 23:43:14 CET 2025,GET,http://0ac760404670fe4a.julec.tf/5588072930382921369,404,Not Found,34,268,158
56,Thu Dec 11 23:43:14 CET 2025,Thu Dec 11 23:43:15 CET 2025,GET,http://0ac760404670fe4a.julec.tf/WEB-INF/web.xml,301,Moved Permanently,34,221,166
57,Thu Dec 11 23:43:14 CET 2025,Thu Dec 11 23:43:15 CET 2025,GET,http://0ac760404670fe4a.julec.tf/?-s,301,Moved Permanently,33,209,166
58,Thu Dec 11 23:43:14 CET 2025,Thu Dec 11 23:43:15 CET 2025,GET,http://0ac760404670fe4a.julec.tf/sitemap.xml?-s,301,Moved Permanently,33,220,166
59,Thu Dec 11 23:43:15 CET 2025,Thu Dec 11 23:43:15 CET 2025,GET,http://0ac760404670fe4a.julec.tf/WEB-INF/applicationContext.xml,301,Moved Permanently,25,236,166
60,Thu Dec 11 23:43:14 CET 2025,Thu Dec 11 23:43:15 CET 2025,GET,http://0ac760404670fe4a.julec.tf/robots.txt?-s,301,Moved Permanently,58,219,166
61,Thu Dec 11 23:43:14 CET 2025,Thu Dec 11 23:43:15 CET 2025,GET,http://0ac760404670fe4a.julec.tf/?-s,301,Moved Permanently,57,209,166
62,Thu Dec 11 23:43:15 CET 2025,Thu Dec 11 23:43:15 CET 2025,POST,http://0ac760404670fe4a.julec.tf/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,25,266,166
63,Thu Dec 11 23:43:15 CET 2025,Thu Dec 11 23:43:15 CET 2025,POST,http://0ac760404670fe4a.julec.tf/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,24,266,166
64,Thu Dec 11 23:43:15 CET 2025,Thu Dec 11 23:43:15 CET 2025,POST,http://0ac760404670fe4a.julec.tf/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,24,277,166
65,Thu Dec 11 23:43:15 CET 2025,Thu Dec 11 23:43:15 CET 2025,POST,http://0ac760404670fe4a.julec.tf/robots.txt?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,24,276,166
66,Thu Dec 11 23:43:15 CET 2025,Thu Dec 11 23:43:15 CET 2025,POST,http://0ac760404670fe4a.julec.tf/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,26,266,166
67,Thu Dec 11 23:43:15 CET 2025,Thu Dec 11 23:43:15 CET 2025,POST,http://0ac760404670fe4a.julec.tf/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,26,277,166
